ROT,St,Net,MinZ,MaxZ,Family,Genus,Species,Pre,Post,Total\,
8,A,1,80,100,Gobiidae,Bathygobius,Bat sopo,1,1,2\,
8,P,2,60,80,Gobiidae,Bathygobius,Bathygobius,0,3,3\,
8,P,3,40,60,Gobiidae,Bathygobius,Bathygobius,0,1,1\,
4,C,1,80,100,Gobiidae,Bathygobius,Bathygobius,2,0,2\,
4,G,2,60,80,Gobiidae,Bathygobius,Bathygobius,1,0,1\,
4,W,5,0,20,Gobiidae,Bathygobius,Bathygobius,1,0,1\,
5,R,1,80,100,Gobiidae,Bathygobius,Bathygobius,1,0,1\,
6,A,3,40,60,Gobiidae,Bathygobius,Bathygobius,2,0,2\,
6,G,1,80,100,Gobiidae,Bathygobius,Bathygobius,1,0,1\,
6,R,1,80,100,Gobiidae,Bathygobius,Bathygobius,0,1,1\,
6,R,2,60,80,Gobiidae,Bathygobius,Bathygobius,8,0,8\,
8,A,1,80,100,Gobiidae,Bathygobius,Bathygobius,1,0,1\,
8,C,3,40,60,Gobiidae,Bathygobius,Bathygobius,2,1,3\,
8,D,5,0,20,Gobiidae,Bathygobius,Bathygobius,1,0,1\,
8,F,2,60,80,Gobiidae,Bathygobius,Bathygobius,2,0,2\,
8,G,2,60,80,Gobiidae,Bathygobius,Bathygobius,3,0,3\,
8,G,4,20,40,Gobiidae,Bathygobius,Bathygobius,2,0,2\,
8,G,5,0,20,Gobiidae,Bathygobius,Bathygobius,2,0,2\,
8,O,3,40,60,Gobiidae,Bathygobius,Bathygobius,2,0,2\,
8,P,4,20,40,Gobiidae,Bathygobius,Bathygobius,1,0,1\,
8,G,1,80,100,Gobiidae,Bathygobius,Bathygobius B41,0,2,2\,
8,G,3,40,60,Gobiidae,Bathygobius,Bathygobius B41,3,0,3\,
8,G,1,80,100,Gobiidae,Bathygobius,Bathygobius B91,6,0,6\,
8,G,4,20,40,Gobiidae,Bathygobius,Bathygobius B91,2,0,2\,
8,G,4,20,40,Gobiidae,Bathygobius,Bathygobius B91,0,0,0\,
1,A,1,80,100,Gobiidae,Coryphopterus,Cor glau,8,0,8\,
1,C,2345,0,80,Gobiidae,Coryphopterus,Cor glau,0,1,1\,
1,J,4,20,40,Gobiidae,Coryphopterus,Cor glau,0,1,1\,
1,M,3,40,60,Gobiidae,Coryphopterus,Cor glau,7,0,7\,
1,O,2,60,80,Gobiidae,Coryphopterus,Cor glau,1,0,1\,
1,O,3,40,60,Gobiidae,Coryphopterus,Cor glau,3,0,3\,
1,O,5,0,20,Gobiidae,Coryphopterus,Cor glau,0,1,1\,
1,P,2,60,80,Gobiidae,Coryphopterus,Cor glau,2,0,2\,
1,R,3,40,60,Gobiidae,Coryphopterus,Cor glau,0,1,1\,
1,T,5,0,20,Gobiidae,Coryphopterus,Cor glau,4,0,4\,
1,V,5,0,20,Gobiidae,Coryphopterus,Cor glau,0,1,1\,
2,G,3,40,60,Gobiidae,Coryphopterus,Cor glau,0,2,2\,
2,L,3,40,60,Gobiidae,Coryphopterus,Cor glau,1,2,3\,
2,M,3,40,60,Gobiidae,Coryphopterus,Cor glau,0,1,1\,
2,M,4,20,40,Gobiidae,Coryphopterus,Cor glau,0,3,3\,
2,Q,4,20,40,Gobiidae,Coryphopterus,Cor glau,0,8,8\,
2,R,1,80,100,Gobiidae,Coryphopterus,Cor glau,1,0,1\,
2,R,3,40,60,Gobiidae,Coryphopterus,Cor glau,3,0,3\,
2,S,4,20,40,Gobiidae,Coryphopterus,Cor glau,0,13,13\,
2,T,4,20,40,Gobiidae,Coryphopterus,Cor glau,1,6,7\,
2,T,5,0,20,Gobiidae,Coryphopterus,Cor glau,1,2,3\,
2,U,4,20,40,Gobiidae,Coryphopterus,Cor glau,1,4,5\,
2,W,4,20,40,Gobiidae,Coryphopterus,Cor glau,1,0,1\,
3,F,4,20,40,Gobiidae,Coryphopterus,Cor glau,0,1,1\,
3,F,5,0,20,Gobiidae,Coryphopterus,Cor glau,0,1,1\,
3,G,34,20,60,Gobiidae,Coryphopterus,Cor glau,0,7,7\,
3,J,5,0,20,Gobiidae,Coryphopterus,Cor glau,0,1,1\,
3,J,5,0,20,Gobiidae,Coryphopterus,Cor glau,0,3,3\,
3,K,5,0,20,Gobiidae,Coryphopterus,Cor glau,1,0,1\,
3,P,4,20,40,Gobiidae,Coryphopterus,Cor glau,2,0,2\,
3,Q,3,40,60,Gobiidae,Coryphopterus,Cor glau,1,0,1\,
3,Q,4,20,40,Gobiidae,Coryphopterus,Cor glau,0,2,2\,
3,R,3,40,60,Gobiidae,Coryphopterus,Cor glau,1,0,1\,
3,W,4,20,40,Gobiidae,Coryphopterus,Cor glau,0,1,1\,
4,C,2,60,80,Gobiidae,Coryphopterus,Cor glau,0,3,3\,
4,D,4,20,40,Gobiidae,Coryphopterus,Cor glau,0,2,2\,
4,G,2,60,80,Gobiidae,Coryphopterus,Cor glau,3,0,3\,
4,S,4,20,40,Gobiidae,Coryphopterus,Cor glau,0,1,1\,
5,C,2,60,80,Gobiidae,Coryphopterus,Cor glau,1,0,1\,
5,D,4,20,40,Gobiidae,Coryphopterus,Cor glau,1,0,1\,
5,E,1,80,100,Gobiidae,Coryphopterus,Cor glau,1,0,1\,
5,E,2,60,80,Gobiidae,Coryphopterus,Cor glau,1,0,1\,
5,E,4,20,40,Gobiidae,Coryphopterus,Cor glau,0,1,1\,
5,F,5,0,40,Gobiidae,Coryphopterus,Cor glau,2,0,2\,
5,G,1,80,100,Gobiidae,Coryphopterus,Cor glau,9,1,10\,
5,G,2,60,80,Gobiidae,Coryphopterus,Cor glau,0,1,1\,
5,L,3,40,60,Gobiidae,Coryphopterus,Cor glau,0,1,1\,
5,L,4,20,40,Gobiidae,Coryphopterus,Cor glau,1,1,2\,
5,P,4,20,40,Gobiidae,Coryphopterus,Cor glau,1,0,1\,
5,R,3,40,60,Gobiidae,Coryphopterus,Cor glau,2,0,2\,
7,K,4,20,40,Gobiidae,Coryphopterus,Cor glau,0,1,1\,
1,A,2,60,80,Gobiidae,Coryphopterus,Cor glau,0,2,2\,
1,C,4,20,40,Gobiidae,Coryphopterus,Cor glau,0,7,7\,
1,C,5,0,20,Gobiidae,Coryphopterus,Cor glau,0,4,4\,
1,E,4,20,40,Gobiidae,Coryphopterus,Cor glau,0,6,6\,
1,F,1,80,100,Gobiidae,Coryphopterus,Cor glau,0,2,2\,
1,F,4,20,40,Gobiidae,Coryphopterus,Cor glau,0,2,2\,
1,G,1,80,100,Gobiidae,Coryphopterus,Cor glau,0,1,1\,
1,G,2,60,80,Gobiidae,Coryphopterus,Cor glau,0,7,7\,
1,G,3,40,60,Gobiidae,Coryphopterus,Cor glau,0,1,1\,
1,G,4,20,40,Gobiidae,Coryphopterus,Cor glau,1,1,2\,
1,M,1,0,20,Gobiidae,Coryphopterus,Cor glau,0,1,1\,
2,C,3,40,60,Gobiidae,Coryphopterus,Cor glau,0,4,4\,
2,C,5,0,20,Gobiidae,Coryphopterus,Cor glau,0,1,1\,
2,G,3,40,60,Gobiidae,Coryphopterus,Cor glau,0,1,1\,
2,G,4,20,40,Gobiidae,Coryphopterus,Cor glau,0,1,1\,
2,I,4,20,40,Gobiidae,Coryphopterus,Cor glau,0,2,2\,
2,P,1,80,100,Gobiidae,Coryphopterus,Cor glau,0,3,3\,
2,P,2,60,80,Gobiidae,Coryphopterus,Cor glau,0,1,1\,
2,Q,1,80,100,Gobiidae,Coryphopterus,Cor glau,0,1,1\,
3,A,2,60,80,Gobiidae,Coryphopterus,Cor glau,0,2,2\,
3,C,1,80,100,Gobiidae,Coryphopterus,Cor glau,0,7,7\,
3,C,2,60,80,Gobiidae,Coryphopterus,Cor glau,0,6,6\,
3,C,3,40,60,Gobiidae,Coryphopterus,Cor glau,0,5,5\,
3,C,4,20,40,Gobiidae,Coryphopterus,Cor glau,0,2,2\,
3,D,1,80,100,Gobiidae,Coryphopterus,Cor glau,0,13,13\,
3,D,2,60,80,Gobiidae,Coryphopterus,Cor glau,0,10,10\,
3,D,4,20,40,Gobiidae,Coryphopterus,Cor glau,0,6,6\,
3,D,5,0,20,Gobiidae,Coryphopterus,Cor glau,0,7,7\,
3,E,1,80,100,Gobiidae,Coryphopterus,Cor glau,0,4,4\,
3,E,2,60,80,Gobiidae,Coryphopterus,Cor glau,0,12,12\,
3,E,3,40,60,Gobiidae,Coryphopterus,Cor glau,0,5,5\,
3,E,4,20,40,Gobiidae,Coryphopterus,Cor glau,0,9,9\,
3,E,5,0,20,Gobiidae,Coryphopterus,Cor glau,0,2,2\,
3,F,1,80,100,Gobiidae,Coryphopterus,Cor glau,0,2,2\,
