"","deploy_id","meanTemp","maxTemp","minTemp","meanLight","maxLight","minLight"
"1",45,29.452,29.452,29.452,3134.46555555556,3788.9,2755.6
"2",47,29.5986666666667,29.652,29.552,7336.71111111111,9300.1,5166.7
"3",49,29.5642222222222,29.652,29.552,5645.08888888889,8611.2,4650
"4",79,86.4610222222222,86.641,86.459,495.644444444444,608,288
"5",81,86.3397777777778,86.459,86.097,507.2,1216,152
"6",87,86.6369555555556,86.641,86.459,744,1024,288
"7",89,86.0848666666667,86.097,85.915,756.977777777778,1024,232
"8",93,86.3781111111111,86.459,86.277,1270.93333333333,1728,336
"9",105,86.3093555555556,86.459,86.277,1182.22222222222,1664,768
"10",107,86.2773111111111,86.459,86.097,1110.4,1728,384
"11",111,86.109,86.277,86.097,473.244444444444,608,224
"12",113,85.374,85.374,85.374,102.233333333333,115,90
"13",117,85.735,85.735,85.735,336.355555555556,480,288
"14",119,85.438,85.554,85.374,181.333333333333,232,136
"15",121,85.7249444444444,85.735,85.554,465.688888888889,576,184
"16",123,85.6605888888889,85.735,85.554,329.777777777778,512,160
"17",125,85.6384666666667,85.735,85.554,381.333333333333,496,232
"18",126,85.124,85.194,85.014,188.422222222222,272,123
"19",132,85.6024333333333,85.735,85.374,748.444444444444,1088,288
"20",134,85.735,85.735,85.735,1016.17777777778,1472,512
"21",137,85.5424222222222,85.915,85.194,378.955555555556,960,123
"22",141,85.3720555555556,85.735,85.194,204.766666666667,1344,31
"23",142,85.09,85.194,85.014,817.777777777778,1152,576
"24",144,85.206,85.374,85.194,1138.84444444444,1536,704
"25",146,85.344,85.374,85.194,1390.93333333333,1920,416
"26",148,85.374,85.374,85.374,1516.44444444444,1920,672
"27",150,85.394,85.554,85.374,1375.64444444444,1984,672
"28",152,85.857,85.915,85.735,1102.22222222222,1664,704
"29",154,85.9051098901099,85.915,85.735,1239.91208791209,2048,864
"30",156,85.5401,85.735,85.374,460,896,160
"31",158,85.831,85.915,85.735,514.133333333333,704,416
"32",160,85.915,85.915,85.915,566.4,768,208
"33",162,85.867,85.915,85.735,793.422222222222,1216,496
"34",164,85.887,85.915,85.735,686.4,960,432
"35",166,85.554,85.554,85.554,330.844444444444,352,304
"36",169,85.7148888888889,85.735,85.554,409.422222222222,576,288
"37",170,85.915,85.915,85.915,1147.02222222222,1600,768
"38",172,85.9210666666667,86.097,85.915,1171.55555555556,1728,672
"39",174,85.6686333333333,85.735,85.554,542.577777777778,768,240
"40",176,85.554,85.554,85.554,391.022222222222,496,192
"41",180,85.554,85.554,85.554,371.377777777778,448,272
"42",181,85.522,85.554,85.374,224.711111111111,256,184
"43",183,86.109,86.277,86.097,842.133333333333,1152,464
"44",189,86.0686888888889,86.097,85.915,299.2,336,240
"45",193,86.265,86.277,86.097,532.355555555556,704,240
"46",195,86.2790222222222,86.459,86.277,397.155555555556,496,184
"47",199,86.099,86.277,86.097,999.822222222222,1856,576
"48",201,85.759,85.915,85.735,463.288888888889,512,432
"49",204,87.114,87.186,87.004,1360.87912087912,1984,768
"50",206,87.236,87.368,87.186,1584.17582417582,2304,864
"51",208,87.366,87.368,87.186,1909.45054945055,3072,896
"52",210,87.4208131868132,87.552,87.186,1991.03296703297,3712,512
"53",215,86.4387777777778,86.459,86.277,869.688888888889,1280,240
"54",217,86.459,86.459,86.459,1015.11111111111,1344,704
"55",221,86.459,86.459,86.459,1041.77777777778,1344,768
"56",223,86.4610222222222,86.641,86.459,1218.84444444444,1536,864
"57",227,86.4226,86.459,86.277,599.111111111111,992,480
"58",229,86.5439333333333,86.823,86.459,860.088888888889,1856,576
"59",234,85.915,85.915,85.915,260.888888888889,272,248
"60",240,85.903,85.915,85.735,293.155555555556,352,272
"61",246,86.097,86.097,86.097,454.755555555556,496,368
"62",250,86.139,86.277,86.097,271.022222222222,480,152
"63",254,86.097,86.097,86.097,104.177777777778,120,93
"64",258,86.2374395604396,86.277,86.097,434.461538461538,576,184
"65",268,86.271,86.277,86.097,460.444444444444,512,368
"66",270,86.2830888888889,86.459,86.097,455.111111111111,1344,192
"67",274,86.8562666666667,92.363,85.554,3091.55555555556,24576,512
"68",277,86.2254,86.459,86.097,540.266666666667,1152,320
"69",281,86.1995333333333,86.641,86.097,194.133333333333,496,124
"70",285,86.5237111111111,86.641,86.459,582.222222222222,992,320
"71",287,86.4387777777778,86.459,86.277,670.044444444444,1344,336
"72",291,86.4166444444444,86.641,86.097,563.377777777778,1024,208
"73",293,86.0625111111111,86.277,85.915,626.577777777778,1728,216
"74",295,86.055,86.097,85.915,238.681318681319,480,120
"75",299,86.2235934065934,86.277,86.097,427.428571428571,800,152
"76",301,86.315,86.459,86.277,798.593406593407,1088,448
"77",303,86.2671098901099,86.277,86.097,771.868131868132,1152,368
"78",305,86.277,86.277,86.277,601.846153846154,704,432
"79",309,86.375,86.459,86.277,832,1024,432
"80",313,85.9776888888889,86.097,85.915,172.888888888889,216,136
"81",317,85.554,85.554,85.554,224.5,304,98
"82",318,85.9230888888889,86.097,85.915,49.6111111111111,55,41
"83",324,86.277,86.277,86.277,74.6888888888889,107,57
"84",328,86.221,86.277,86.097,814.577777777778,1216,480
"85",330,86.3336222222222,86.459,86.277,1032.17777777778,1344,512
"86",332,86.3275555555556,86.459,86.277,1042.84444444444,1344,704
"87",334,85.554,85.554,85.554,278,368,117
"88",341,85.9797111111111,86.097,85.915,457.066666666667,800,144
"89",344,86.2830666666667,86.459,86.277,961.955555555556,1152,464
"90",352,86.0201555555556,86.097,85.915,316.711111111111,496,224
"91",354,86.2189777777778,86.459,85.915,528.711111111111,800,256
"92",356,85.6867333333333,85.735,85.554,463.288888888889,864,272
"93",358,85.8330444444445,86.097,85.735,818.666666666667,1280,480
"94",360,85.9311777777778,86.097,85.915,1032.88888888889,1344,672
"95",362,85.9718666666667,86.097,85.735,1007.46666666667,1600,272
"96",46,29.252,29.252,29.252,3337.29888888889,4133.4,2755.6
"97",48,29.4197777777778,29.452,29.352,7317.57444444444,9644.5,5166.7
"98",50,29.382,29.452,29.352,5882.37111111111,9300.1,4650
"99",72,30.154,30.154,30.154,12074.7811111111,17911.2,8611.2
"100",80,86.0262,86.277,85.915,860.088888888889,1344,432
"101",82,86.0019777777778,86.277,85.735,966.755555555556,1856,272
"102",84,86.231,86.277,86.097,1319.46666666667,1984,336
"103",90,86.5115777777778,86.641,86.277,696.8,960,200
"104",100,85.879,85.915,85.735,316.977777777778,416,256
"105",102,86.0889111111111,86.097,85.915,477.688888888889,512,400
"106",106,85.915,85.915,85.915,1147.73333333333,1536,512
"107",112,85.7088555555556,85.735,85.554,437.511111111111,672,240
"108",116,85.194,85.194,85.194,272.266666666667,288,248
"109",120,85.158,85.194,85.014,214.577777777778,256,168
"110",122,85.458,85.554,85.194,901.333333333333,1344,288
"111",124,85.352,85.554,85.194,630.4,896,272
"112",127,84.804,84.834,84.654,178.5,272,110
"113",129,84.782,84.834,84.654,275.244444444444,608,115
"114",138,85.092,85.374,84.834,419.911111111111,1024,176
"115",140,85.014,85.014,85.014,297.955555555556,496,216
"116",143,85.5482111111111,85.735,85.374,628.977777777778,1152,336
"117",145,85.735,85.735,85.735,955.733333333333,1344,608
"118",147,85.7229333333333,85.735,85.554,1102.57777777778,1664,336
"119",149,85.735,85.735,85.735,1259.37777777778,1920,768
"120",151,85.783,85.915,85.735,1149.15555555556,1728,512
"121",153,85.318,85.374,85.194,831.288888888889,1152,512
"122",155,85.374,85.374,85.374,1186.13333333333,1728,768
"123",157,85.222,85.374,85.014,753.066666666667,1280,216
"124",159,85.374,85.374,85.374,909.511111111111,1344,576
"125",161,85.55,85.554,85.374,1093.33333333333,1664,448
"126",163,85.554,85.554,85.554,1455.28888888889,2048,992
"127",167,85.222,85.374,85.194,345.066666666667,368,320
"128",171,85.554,85.554,85.554,1159.82222222222,1728,864
"129",173,85.6847222222222,85.735,85.554,1217.42222222222,1920,512
"130",175,85.376,85.554,85.374,741.866666666667,1216,336
"131",177,85.356,85.374,85.194,660,864,248
"132",179,85.306,85.374,85.194,520.533333333333,672,432
"133",182,85.194,85.194,85.194,417.6,496,304
"134",184,85.763,85.915,85.735,869.511111111111,1152,480
"135",186,85.9170222222222,86.097,85.915,1171.91111111111,1664,800
"136",192,85.9636222222222,86.097,85.735,760.177777777778,1024,304
"137",198,86.0626222222222,86.097,85.915,1653.68888888889,2304,992
"138",202,85.448,85.554,85.374,493.511111111111,608,432
"139",205,86.6046,86.641,86.459,1453.51111111111,2560,768
"140",207,86.6996444444444,86.823,86.641,1549.86666666667,2816,704
"141",209,86.7259333333333,86.823,86.459,1861.68888888889,2944,1024
"142",211,86.9356,87.004,86.641,2042.66666666667,3200,576
"143",212,87.0019888888889,87.004,86.823,2161.77777777778,3456,1024
"144",214,85.9251111111111,86.097,85.915,661.333333333333,992,288
"145",216,86.0989777777778,86.277,85.915,987.022222222222,1344,256
"146",218,86.097,86.097,86.097,1097.6,1344,768
"147",228,85.881,85.915,85.735,513.777777777778,800,432
"148",232,86.2750222222222,86.459,86.097,1172.97777777778,1792,416
"149",233,86.0762888888889,86.277,85.915,775.466666666667,1856,288
"150",235,85.554,85.554,85.554,388.622222222222,416,368
"151",237,85.554,85.554,85.554,331.555555555556,384,304
"152",239,85.789,85.915,85.735,826.666666666667,1216,512
"153",241,85.554,85.554,85.554,362.488888888889,464,336
"154",243,85.915,85.915,85.915,567.822222222222,768,320
"155",251,85.795,85.915,85.735,280.622222222222,496,152
"156",253,85.829,85.915,85.735,283.022222222222,336,248
"157",255,85.735,85.735,85.735,146.933333333333,168,128
"158",259,86.4711333333333,86.641,86.459,324.088888888889,432,128
"159",261,86.4832666666667,86.641,86.459,211.466666666667,272,160
"160",263,86.459,86.459,86.459,103.933333333333,126,86
"161",265,86.101,86.277,86.097,894.933333333333,1152,704
"162",271,85.9898222222222,86.097,85.915,518.755555555556,672,336
"163",273,85.9314222222222,86.097,85.735,437.422222222222,1152,192
"164",275,86.0606,86.097,85.915,751.822222222222,1344,304
"165",278,85.913043956044,86.097,85.735,731.164835164835,1024,200
"166",280,85.919,86.097,85.915,596.923076923077,704,272
"167",282,85.915,85.915,85.915,447.648351648352,496,256
"168",286,85.9210666666667,86.097,85.915,461.688888888889,1152,256
"169",288,86.0039777777778,86.097,85.915,618.666666666667,992,256
"170",292,85.9313111111111,86.097,85.735,508.355555555556,864,200
"171",294,85.6927666666667,85.735,85.554,610.666666666667,864,224
"172",296,85.7189111111111,85.735,85.554,310.4,416,160
"173",298,85.6143333333333,85.735,85.554,327.288888888889,496,160
"174",300,85.899,85.915,85.735,728.711111111111,896,240
"175",312,85.548,85.554,85.374,71.9333333333333,80,53
"176",314,85.554,85.554,85.554,147.544444444444,176,127
"177",316,85.735,85.735,85.735,274.844444444444,304,256
"178",319,85.5942222222222,85.735,85.554,43.7888888888889,49,35
"179",329,85.9070222222222,86.097,85.735,952.177777777778,1344,512
"180",331,85.915,85.915,85.915,1129.24444444444,1472,896
"181",333,85.9190444444445,86.097,85.915,1143.82222222222,1536,896
"182",337,85.6344444444444,85.735,85.554,883.911111111111,1152,576
"183",343,86.4650666666667,86.641,86.277,519.377777777778,896,184
"184",353,85.7329888888889,85.735,85.554,520.888888888889,800,400
"185",355,85.7748888888889,86.097,85.554,780.266666666667,1664,320
"186",357,85.370043956044,85.374,85.194,560,1024,352
"187",359,85.554,85.554,85.554,1032.43956043956,1344,704
"188",361,85.731021978022,85.735,85.554,1227.25274725275,1600,960
"189",363,85.6296703296703,85.735,85.374,1099.95604395604,1728,320
