"","trackNb","rotation","n","mean","se.mean","kappa","se.kappa","variance","r","p.value","signif","dir.n","dir.mean","dir.se.mean","dir.kappa","dir.se.kappa","dir.variance","dir.r","dir.p.value","dir.signif","turn.n","turn.abs.mean","turn.freq.gt45","speed.n","speed.mean","speed.sd","speed.median","speed.mad","bin.angle","deploy_id","fileName"
"2",1,"rotated",490,333.468464608862,3.213314941672,1.23760708326667,0.0822712282327575,0.471932886767728,0.528067113232272,4.55495796197472e-60,TRUE,469,80.9439280742229,85.5816574761039,0.043724252971922,0.0653257235572204,0.978143096378743,0.0218569036212567,0.799273038234458,FALSE,450,41.2780390990453,0.355555555555556,469,0.643052717831231,0.26636851055067,0.611435844075346,0.240441899051933,0,105,"E:/Belize_DISC_2016/DATA/DISC_A/deployments/105/stats.csv"
"4",1,"rotated",515,237.177324712015,9.94651589312096,0.36188454358872,0.0638485673722113,0.821954325202773,0.178045674797227,8.1258119232811e-08,TRUE,497,134.665824666384,29.6714950273795,0.122610432475998,0.0636149677034469,0.938809697193113,0.0611903028068866,0.155533549328296,FALSE,479,41.1487229251286,0.352818371607516,497,0.555516951859367,0.264104845006922,0.523681764290816,0.235343215967223,0,107,"E:/Belize_DISC_2016/DATA/DISC_A/deployments/107/stats.csv"
"6",1,"rotated",593,110.887332595055,3.52048484676416,1.00034817908695,0.0689932704697833,0.552218762506416,0.447781237493584,2.30057502251719e-52,TRUE,587,0.422674585234176,77.4588072143723,0.04318156495383,0.058391248369721,0.978414248358741,0.0215857516412591,0.760705091678012,FALSE,581,43.2600892064227,0.392426850258176,587,0.874414090090414,0.350779294817701,0.859746850133295,0.336960467080884,0,111,"E:/Belize_DISC_2016/DATA/DISC_A/deployments/111/stats.csv"
"8",1,"rotated",676,19.0053382722434,22.597660769562,0.13807570153815,0.0545872784265939,0.931126150219474,0.068873849780526,0.0404908824013389,TRUE,675,236.657152431695,115.031424703222,0.0271137257026041,0.0544406085496612,0.986444382793992,0.0135556172060083,0.883349398778293,FALSE,674,43.8494536061209,0.369436201780415,675,0.673467365428069,0.270663259123112,0.680572872556046,0.283149725314102,0,113,"E:/Belize_DISC_2016/DATA/DISC_A/deployments/113/stats.csv"
"10",1,"rotated",676,76.8890506941312,26.157747698388,0.119247516621459,0.0545378610155577,0.94048197109023,0.0595180289097704,0.0912037250995971,FALSE,675,86.8723367519132,34.5252265985396,0.0903796672756187,0.0545164769946568,0.954856245036981,0.0451437549630189,0.25268236250408,FALSE,674,60.7067688415055,0.531157270029674,675,0.501979283118487,0.342707790881199,0.427075602726703,0.315156078462175,0,117,"E:/Belize_DISC_2016/DATA/DISC_A/deployments/117/stats.csv"
"12",1,"rotated",676,46.7197567999344,10.1228774650197,0.309697711771939,0.0553713217676431,0.846977675905412,0.153022324094588,1.33508297189538e-07,TRUE,675,94.6371243289551,65.8179029978937,0.047391739731097,0.0544560284804842,0.976310780190835,0.0236892198091654,0.684685331567075,FALSE,674,37.6730252985817,0.317507418397626,675,0.511600794977722,0.221263928970807,0.490585677269241,0.182185831330641,0,119,"E:/Belize_DISC_2016/DATA/DISC_A/deployments/119/stats.csv"
"14",1,"rotated",627,213.487600222263,4.92842273522359,0.674678582746665,0.0613047002742174,0.680376791185525,0.319623208814476,1.51997267020601e-28,TRUE,625,196.981894760474,77.3587921326977,0.0419020808698297,0.0565871655140046,0.979053556407915,0.0209464435920847,0.76016410834963,FALSE,623,46.6450309233464,0.396468699839486,625,0.861580613006759,0.317952411845371,0.860894384446061,0.315794048617578,0,121,"E:/Belize_DISC_2016/DATA/DISC_A/deployments/121/stats.csv"
"16",1,"rotated",596,239.487705305991,3.1307532347986,1.13886456964129,0.0720451618434296,0.504058827864548,0.495941172135452,2.16991675495315e-64,TRUE,576,103.689742439847,45.4579322876214,0.0742961748315173,0.0589865533585711,0.962877520803466,0.0371224791965336,0.452135577485183,FALSE,563,56.5673618615434,0.520426287744227,576,0.601704056760803,0.293065927691256,0.563606581682624,0.258216371210921,0,123,"E:/Belize_DISC_2016/DATA/DISC_A/deployments/123/stats.csv"
"18",1,"rotated",627,129.626259222283,0.53718914629411,18.6506872946754,1.0382846707612,0.0271883146016774,0.972811685398323,2.00896429322075e-258,TRUE,625,347.58825487144,43.7020142822997,0.0741900191119827,0.0566269240296083,0.962930489118677,0.0370695108813233,0.423652007353701,FALSE,623,73.7343080634261,0.592295345104334,625,0.22845344781304,0.160155147229094,0.186417111209137,0.121188520960903,0,125,"E:/Belize_DISC_2016/DATA/DISC_A/deployments/125/stats.csv"
"20",1,"rotated",497,224.825928211497,3.93326001556888,0.975547476385403,0.0747782027247912,0.561235905791672,0.438764094208328,2.79868737780538e-42,TRUE,470,176.462484654669,60.0455330212487,0.0622605814989594,0.0652802205330708,0.968884783605141,0.0311152163948593,0.634426622362221,FALSE,445,60.1369072503255,0.557303370786517,470,0.711901831138577,0.334045518238754,0.664783285281945,0.313147705904429,0,126,"E:/Belize_DISC_2016/DATA/DISC_A/deployments/126/stats.csv"
