deploy_id,leg,date_start,date_stop,time_start,time_stop,moonAlt,moonAz,moonHor,disc_id,depth (m),fish_vial,fish_age (dph),bin_id,batch_id,fish_id,lat_start,lon_start,lat_stop,lon_stop,sky,sea,wind_dir,wind_speed,tide,location,Location_Conservative,start_wp,end_wp,drift_direction,drift_distance,In_Behavior,Out_Behavior,cam_OK,comments,larvae_ok,Success,status,tracking_notes,,
1,6/3/2016,6/3/2016,6/3/2016,9:49:00,10:09:00,82,109,TRUE,B,9,6,9,19,19,1,16'48.842,88'04'373,16'48.947,88'04.389,cloudy,4,100,13.7,ebb,near,near,16,x,315,145,3,3,,fish may be 9 dph,not retrieved,,,,,
2,6/3/2016,6/3/2016,6/3/2016,10:18:00,10:38:00,87,166,TRUE,B,9,3,10,16,16,2,16'48.947,88'04.389,16'49.010,88'04.377,cloudy,4,100,13.2,ebb,near,near,x,x,,,3,3,,fish may be 9 dph,not retrieved,,,,,
3,6/3/2016,6/3/2016,6/3/2016,10:51:00,11:11:00,82,250,TRUE,B,9,5,9,19,19,3,16'49.010,88'04.377,16'49.112,88'04.417,cloudy,4,100,18.6,ebb,near,near,17,x,315,130,3,4,,fish may be 9 dph, larvae looked great, dive boat nearby, pomacentrid outside on larva removal,not retrieved,,
4,6/3/2016,6/3/2016,6/3/2016,11:25:00,11:45:00,75,262,TRUE,B,9,4,10,16,16,4,16'49.112,88'04.417,16'49.976,88'04.336,cloudy,4,100,13.8,ebb,near,near,18,x,315,116,3,3,,fish may be 9 dph, larvae not so healthy, moved DISC after trial, pomacentrid outside on larva drop-off,larva returned to boat,,
5,6/3/2016,6/3/2016,6/3/2016,12:23:00,12:43:00,62,269,TRUE,B,9,6,9,19,19,5,16'49.976,88'04.336,x,x,cloudy,4,100,8.9,ebb,near,near,19,x,,,3,3,,fish may be 9 dph, larvae retrieved not by SCUBA, tide changed but double check archive, finish waypoint was 20,not retrieved,,
6,6/4/2016,6/4/2016,6/4/2016,9:20:00,9:40:00,62,86,TRUE,A,9,9,9,21,21,6,16'48.960,88'04.229,16'48.912,88'04.290,cloudy rain,2,320,8,ebb,far,far,21,x,135,31,3,2,,need to confirm these ages with john, larvae whirling a little, pilot fishes around DISC,larva returned to boat,,,
7,6/4/2016,6/4/2016,6/4/2016,9:50:00,10:10:00,69,87,TRUE,A,9,4,9,21,21,7,16'48.912,88'04.290,16'48.900,88'04.286,cloudy,2,330,8,ebb,far,far,22,x,225,58,3,2,,need to confirm these ages with john, larva upside down at start,larva returned to boat,,,,
8,6/4/2016,6/4/2016,6/4/2016,10:18:00,10:38:00,75,88,TRUE,A,9,60,9,21,21,8,16'48.900,88'04.286,16'48.887,88'04.297,light clouds,2,320,8.3,ebb,far,far,23,x,45,25,3,4,,need to confirm these ages with john, pilot fish around, larvae looked good,larva returned to boat,,,
9,6/4/2016,6/4/2016,6/4/2016,10:46:00,11:06:00,82,90,TRUE,A,9,5,9,21,21,9,16'48.887,88'04.297,16'46.804,88'04.245,clear,2,340,7.6,ebb,far,far,24,x,270,30,3,3,,need to confirm these ages with john, pilot fish around, camera looking foggy,larva returned to boat,,,
10,6/4/2016,6/4/2016,6/4/2016,11:22:00,11:42:00,90,256,TRUE,A,9,3,10,19,19,10,16'46.804,88'04.245,16'48.801,88'04.245,clear,2,40,8.1,ebb,far,far*,25,x,45,100,3,3,,need to confirm these ages with john, changed camera with start/stop of 1113 ON and 1117 STOP,larva returned to boat,,,,
